PIÑA,Taza,1,80,1,120,2,240,PIÑA,1 Taza,1 Taza,2 Taza,80,120,240
PIÑA ENLATADA,Taza,1,65,1,115,2,180,PIÑA ENLATADA,1 Taza,1 Taza,2 Taza,65,115,180
PLATANO,Unidad,1,70,1,130,2,210,PLATANO,1 Unidad,1 Unidad,2 Unidad,70,130,210
SANDIA,Taza,1,200,2,400,3,600,SANDIA,1 Taza,2 Taza,3 Taza,200,400,600
TUNA,Unidad,1,50,1,70,1,100,TUNA,1 Unidad,1 Unidad,1 Unidad,50,70,100
UVAS,Unidad,10,90,20,180,30,270,UVAS,10 Unidad,20 Unidad,30 Unidad,90,180,270
HIGOS SECOS,Unidad,1,15,2,30,4,60,HIGOS SECOS,1 Unidad,2 Unidad,4 Unidad,15,30,60
PASAS,Unidad,10,10,20,20,30,30,PASAS,10 Unidad,20 Unidad,30 Unidad,10,20,30
PERAS DESECADAS,Rodaja,7,25,10,35,15,45,PERAS DESECADAS,7 Rodaja,10 Rodaja,15 Rodaja,25,35,45
HUESILLO,Unidad,1,30,2,60,3,90,HUESILLO,1 Unidad,2 Unidad,3 Unidad,30,60,90
CIRUELAS SECAS,Unidad,1,10,3,30,5,50,CIRUELAS SECAS,1 Unidad,3 Unidad,5 Unidad,10,30,50
JUGO DE LIMON,Porcion,1,5,2,10,3,15,JUGO DE LIMON,1 Porcion,2 Porcion,3 Porcion,5,10,15
JUGO DE NARANJA,Taza,1,50,1,200,2,350,JUGO DE NARANJA,1 Taza,1 Taza,2 Taza,50,200,350
JUGO DE POMELO,Taza,1,50,1,200,2,250,JUGO DE POMELO,1 Taza,1 Taza,2 Taza,50,200,250
MIEL DE ABEJA,Cucharadita,1,5,2,10,3,15,MIEL DE ABEJA,1 Cucharadita,2 Cucharadita,3 Cucharadita,5,10,15
MIEL DE PALMA,Cucharadita,1,5,2,10,3,15,MIEL DE PALMA,1 Cucharadita,2 Cucharadita,3 Cucharadita,5,10,15
ARANDANO AZUL,Taza,1,50,2,100,3,300,ARANDANO AZUL,1 Taza,2 Taza,3 Taza,50,100,300
CLEMENTINA,Porción,1,100,2,200,3,300,CLEMENTINA,1 Porción,2 Porción,3 Porción,100,200,300
DAMASCO SECO,Porción,1,100,2,200,3,300,DAMASCO SECO,1 Porción,2 Porción,3 Porción,100,200,300
GRANADA,Taza,1/2,25,1,50,2,75,GRANADA,1/2 Taza,1 Taza,2 Taza,25,50,75
GUAYABA,Unidad,1,60,1,150,1,170,GUAYABA,1 Unidad,1 Unidad,1 Unidad,60,150,170
GUINDA,Unidad,1,6,1,9,2,18,GUINDA,1 Unidad,1 Unidad,2 Unidad,6,9,18
MANZANA ROJA,Unidad,1,85,1,155,2,170,MANZANA ROJA,1 Unidad,1 Unidad,2 Unidad,85,155,170
MANZANA VERDE,Unidad,1,85,1,155,2,170,MANZANA VERDE,1 Unidad,1 Unidad,2 Unidad,85,155,170
MANZANA FUJI,Unidad,1,85,1,155,2,170,MANZANA FUJI,1 Unidad,1 Unidad,2 Unidad,85,155,170
PERA DESECADA,Taza,1,50,1,100,2,200,PERA DESECADA,1 Taza,1 Taza,2 Taza,50,100,200
POMELO,Unidad,1,500,1,1000,2,1500,POMELO,1 Unidad,1 Unidad,2 Unidad,500,1000,1500
ARROZ INTEGRAL,Taza,0,60,1,120,1,150,ARROZ INTEGRAL,0 Taza,1 Taza,1 Taza,60,120,150
AVENA,Taza,1,20,1,40,2,60,AVENA,1 Taza,1 Taza,2 Taza,20,40,60
AVENA s/GLUTEN,Taza,1,20,1,40,2,60,AVENA s/GLUTEN,1 Taza,1 Taza,2 Taza,20,40,60
TAPIOCA,cucharada,2,20,4,40,6,60,TAPIOCA,2 cucharada,4 cucharada,6 cucharada,20,40,60
"MOTE, MAIZ,Taza,1,70,1,140,2,210,""MOTE, MAIZ"",1 Taza,1 Taza,2 Taza,70,140,210"
"MOTE, TRIGO,Taza,1,80,1,160,2,240,""MOTE, TRIGO"",1 Taza,1 Taza,2 Taza,80,160,240"
CEBADA,Taza,1,80,2,160,2,240,CEBADA,1 Taza,2 Taza,2 Taza,80,160,240
